total_time,partition_size,solver,edge_size,load_limit,nodes_traversed,graph_filename,custom_config,iterations,symmetry_breaker,problem,select_cuts,traversal_strategy,vertex_size,branching_strategy,colors_used
0.03513,10,1,493,30,0,DIMACS/anna.col,1,1,1,anna.col,0,1,138,0,1
0.0241561,10,1,406,30,0,DIMACS/david.col,1,1,1,david.col,0,1,87,0,1
0.513894,10,1,11654,30,0,DIMACS/fpsol2.i.1.col,1,1,1,fpsol2.i.1.col,0,1,496,0,1
0.436491,10,1,8691,30,0,DIMACS/fpsol2.i.2.col,1,1,1,fpsol2.i.2.col,0,1,451,0,1
0.449748,10,1,8688,30,0,DIMACS/fpsol2.i.3.col,1,1,1,fpsol2.i.3.col,0,1,425,0,1
0.04354,10,1,638,30,0,DIMACS/games120.col,1,1,1,games120.col,0,1,120,0,1
0.110687,10,1,1629,30,0,DIMACS/homer.col,1,1,1,homer.col,0,1,561,0,1
0.023037,10,1,301,30,0,DIMACS/huck.col,1,1,1,huck.col,0,1,74,0,1
0.794021,10,1,18707,30,0,DIMACS/inithx.i.1.col,1,1,1,inithx.i.1.col,0,1,864,0,1
0.586185,10,1,13979,30,0,DIMACS/inithx.i.2.col,1,1,1,inithx.i.2.col,0,1,645,0,1
0.586675,10,1,13969,30,0,DIMACS/inithx.i.3.col,1,1,1,inithx.i.3.col,0,1,621,0,1
0.0217638,10,1,254,30,0,DIMACS/jean.col,1,1,1,jean.col,0,1,80,0,1
0.309192,10,1,8168,30,0,DIMACS/le450_15a.col,1,1,1,le450_15a.col,0,1,450,0,1
0.345098,10,1,8169,30,0,DIMACS/le450_15b.col,1,1,1,le450_15b.col,0,1,450,0,1
0.635003,10,1,16680,30,0,DIMACS/le450_15c.col,1,1,1,le450_15c.col,0,1,450,0,1
0.834105,10,1,16750,30,0,DIMACS/le450_15d.col,1,1,1,le450_15d.col,0,1,450,0,1
0.3396,10,1,8260,30,0,DIMACS/le450_25a.col,1,1,1,le450_25a.col,0,1,450,0,1
0.325297,10,1,8263,30,0,DIMACS/le450_25b.col,1,1,1,le450_25b.col,0,1,450,0,1
0.702639,10,1,17343,30,0,DIMACS/le450_25c.col,1,1,1,le450_25c.col,0,1,450,0,1
0.700305,10,1,17425,30,0,DIMACS/le450_25d.col,1,1,1,le450_25d.col,0,1,450,0,1
0.274792,10,1,5714,30,0,DIMACS/le450_5a.col,1,1,1,le450_5a.col,0,1,450,0,1
0.297321,10,1,5734,30,0,DIMACS/le450_5b.col,1,1,1,le450_5b.col,0,1,450,0,1
0.45783,10,1,9803,30,0,DIMACS/le450_5c.col,1,1,1,le450_5c.col,0,1,450,0,1
0.466492,10,1,9757,30,0,DIMACS/le450_5d.col,1,1,1,le450_5d.col,0,1,450,0,1
8.80716,10,1,3216,30,2638,DIMACS/miles1000.col,1,1,1,miles1000.col,0,1,128,0,2
300.032,10,1,5198,30,48219,DIMACS/miles1500.col,1,1,1,miles1500.col,0,1,128,0,3
0.033922,10,1,387,30,0,DIMACS/miles250.col,1,1,1,miles250.col,0,1,128,0,1
0.0620272,10,1,1170,30,0,DIMACS/miles500.col,1,1,1,miles500.col,0,1,128,0,1
0.32047,10,1,2113,30,0,DIMACS/miles750.col,1,1,1,miles750.col,0,1,128,0,1
0.145423,10,1,3925,30,0,DIMACS/mulsol.i.1.col,1,1,1,mulsol.i.1.col,0,1,197,0,1
0.141275,10,1,3885,30,0,DIMACS/mulsol.i.2.col,1,1,1,mulsol.i.2.col,0,1,188,0,1
0.155276,10,1,3916,30,0,DIMACS/mulsol.i.3.col,1,1,1,mulsol.i.3.col,0,1,184,0,1
0.151944,10,1,3946,30,0,DIMACS/mulsol.i.4.col,1,1,1,mulsol.i.4.col,0,1,185,0,1
0.152736,10,1,3973,30,0,DIMACS/mulsol.i.5.col,1,1,1,mulsol.i.5.col,0,1,186,0,1
4.36618,10,1,0,30,0,DIMACS/myciel2.col,1,1,1,myciel2.col,0,1,32766,0,1
0.00530887,10,1,20,30,0,DIMACS/myciel3.col,1,1,1,myciel3.col,0,1,11,0,3
0.00711513,10,1,71,30,0,DIMACS/myciel4.col,1,1,1,myciel4.col,0,1,23,0,1
0.012362,10,1,236,30,0,DIMACS/myciel5.col,1,1,1,myciel5.col,0,1,47,0,1
0.038162,10,1,755,30,0,DIMACS/myciel6.col,1,1,1,myciel6.col,0,1,95,0,1
0.0887189,10,1,2360,30,0,DIMACS/myciel7.col,1,1,1,myciel7.col,0,1,191,0,1
0.118267,10,1,1470,30,0,DIMACS/queen10_10.col,1,1,1,queen10_10.col,0,1,100,0,1
0.183587,10,1,1980,30,0,DIMACS/queen11_11.col,1,1,1,queen11_11.col,0,1,121,0,1
0.361712,10,1,2596,30,0,DIMACS/queen12_12.col,1,1,1,queen12_12.col,0,1,144,0,1
0.440601,10,1,3328,30,0,DIMACS/queen13_13.col,1,1,1,queen13_13.col,0,1,169,0,1
0.180632,10,1,4186,30,0,DIMACS/queen14_14.col,1,1,1,queen14_14.col,0,1,196,0,1
0.230365,10,1,5180,30,0,DIMACS/queen15_15.col,1,1,1,queen15_15.col,0,1,225,0,1
0.226429,10,1,6320,30,0,DIMACS/queen16_16.col,1,1,1,queen16_16.col,0,1,256,0,1
0.064182,10,1,160,30,35,DIMACS/queen5_5.col,1,1,1,queen5_5.col,0,1,25,0,3
0.121376,10,1,290,30,7,DIMACS/queen6_6.col,1,1,1,queen6_6.col,0,1,36,0,2
0.117262,10,1,476,30,3,DIMACS/queen7_7.col,1,1,1,queen7_7.col,0,1,49,0,2
3.53937,10,1,1368,30,3221,DIMACS/queen8_12.col,1,1,1,queen8_12.col,0,1,96,0,2
0.256854,10,1,728,30,37,DIMACS/queen8_8.col,1,1,1,queen8_8.col,0,1,64,0,2
1.75755,10,1,1056,30,2220,DIMACS/queen9_9.col,1,1,1,queen9_9.col,0,1,81,0,2
1.16896,10,1,19095,30,0,DIMACS/school1.col,1,1,1,school1.col,0,1,385,0,1
0.825323,10,1,14612,30,0,DIMACS/school1_nsh.col,1,1,1,school1_nsh.col,0,1,352,0,1
0.164837,10,1,4100,30,0,DIMACS/zeroin.i.1.col,1,1,1,zeroin.i.1.col,0,1,211,0,1
0.168711,10,1,3541,30,0,DIMACS/zeroin.i.2.col,1,1,1,zeroin.i.2.col,0,1,211,0,1
0.247445,10,1,3540,30,0,DIMACS/zeroin.i.3.col,1,1,1,zeroin.i.3.col,0,1,206,0,1
0.50248,10,2,493,30,0,DIMACS/anna.col,1,1,1,anna.col,0,1,138,0,1
0.285952,10,2,406,30,0,DIMACS/david.col,1,1,1,david.col,0,1,87,0,1
8.70746,10,2,11654,30,0,DIMACS/fpsol2.i.1.col,1,1,1,fpsol2.i.1.col,0,1,496,0,1
7.65854,10,2,8691,30,0,DIMACS/fpsol2.i.2.col,1,1,1,fpsol2.i.2.col,0,1,451,0,1
8.14889,10,2,8688,30,0,DIMACS/fpsol2.i.3.col,1,1,1,fpsol2.i.3.col,0,1,425,0,1
0.321115,10,2,638,30,0,DIMACS/games120.col,1,1,1,games120.col,0,1,120,0,1
0.721105,10,2,1629,30,0,DIMACS/homer.col,1,1,1,homer.col,0,1,561,0,1
0.097528,10,2,301,30,0,DIMACS/huck.col,1,1,1,huck.col,0,1,74,0,1
9.66306,10,2,18707,30,0,DIMACS/inithx.i.1.col,1,1,1,inithx.i.1.col,0,1,864,0,1
6.53492,10,2,13979,30,0,DIMACS/inithx.i.2.col,1,1,1,inithx.i.2.col,0,1,645,0,1
6.15725,10,2,13969,30,0,DIMACS/inithx.i.3.col,1,1,1,inithx.i.3.col,0,1,621,0,1
0.099828,10,2,254,30,0,DIMACS/jean.col,1,1,1,jean.col,0,1,80,0,1
14.67777,10,2,8168,30,0,DIMACS/le450_15a.col,1,1,1,le450_15a.col,0,1,450,0,1
15.68249,10,2,8169,30,0,DIMACS/le450_15b.col,1,1,1,le450_15b.col,0,1,450,0,1
36.0518,10,2,16680,30,0,DIMACS/le450_15c.col,1,1,1,le450_15c.col,0,1,450,0,1
37.9971,10,2,16750,30,0,DIMACS/le450_15d.col,1,1,1,le450_15d.col,0,1,450,0,1
24.95193,10,2,8260,30,0,DIMACS/le450_25a.col,1,1,1,le450_25a.col,0,1,450,0,1
15.40669,10,2,8263,30,0,DIMACS/le450_25b.col,1,1,1,le450_25b.col,0,1,450,0,1
42.1712,10,2,17343,30,0,DIMACS/le450_25c.col,1,1,1,le450_25c.col,0,1,450,0,1
39.602,10,2,17425,30,0,DIMACS/le450_25d.col,1,1,1,le450_25d.col,0,1,450,0,1
8.19184,10,2,5714,30,0,DIMACS/le450_5a.col,1,1,1,le450_5a.col,0,1,450,0,1
13.78271,10,2,5734,30,0,DIMACS/le450_5b.col,1,1,1,le450_5b.col,0,1,450,0,1
29.12277,10,2,9803,30,0,DIMACS/le450_5c.col,1,1,1,le450_5c.col,0,1,450,0,1
33.1292,10,2,9757,30,0,DIMACS/le450_5d.col,1,1,1,le450_5d.col,0,1,450,0,1
7.769698,10,2,3216,30,638,DIMACS/miles1000.col,1,1,1,miles1000.col,0,1,128,0,2
301.56584,10,2,5198,30,26316,DIMACS/miles1500.col,1,1,1,miles1500.col,0,1,128,0,3
0.2366829,10,2,387,30,0,DIMACS/miles250.col,1,1,1,miles250.col,0,1,128,0,1
0.542942,10,2,1170,30,0,DIMACS/miles500.col,1,1,1,miles500.col,0,1,128,0,1
2.725948,10,2,2113,30,0,DIMACS/miles750.col,1,1,1,miles750.col,0,1,128,0,1
2.195496,10,2,3925,30,0,DIMACS/mulsol.i.1.col,1,1,1,mulsol.i.1.col,0,1,197,0,1
2.012971,10,2,3885,30,0,DIMACS/mulsol.i.2.col,1,1,1,mulsol.i.2.col,0,1,188,0,1
3.01856,10,2,3916,30,0,DIMACS/mulsol.i.3.col,1,1,1,mulsol.i.3.col,0,1,184,0,1
4.36938,10,2,3946,30,0,DIMACS/mulsol.i.4.col,1,1,1,mulsol.i.4.col,0,1,185,0,1
3.42279,10,2,3973,30,0,DIMACS/mulsol.i.5.col,1,1,1,mulsol.i.5.col,0,1,186,0,1
110.76293,10,2,0,30,0,DIMACS/myciel2.col,1,1,1,myciel2.col,0,1,32765,0,1
0.013727947,10,2,20,30,0,DIMACS/myciel3.col,1,1,1,myciel3.col,0,1,11,0,3
0.01597686,10,2,71,30,0,DIMACS/myciel4.col,1,1,1,myciel4.col,0,1,23,0,1
0.037602,10,2,236,30,0,DIMACS/myciel5.col,1,1,1,myciel5.col,0,1,47,0,1
0.2932839,10,2,755,30,0,DIMACS/myciel6.col,1,1,1,myciel6.col,0,1,95,0,1
1.748062,10,2,2360,30,0,DIMACS/myciel7.col,1,1,1,myciel7.col,0,1,191,0,1
0.614742,10,2,1470,30,0,DIMACS/queen10_10.col,1,1,1,queen10_10.col,0,1,100,0,1
1.032642,10,2,1980,30,0,DIMACS/queen11_11.col,1,1,1,queen11_11.col,0,1,121,0,1
2.291425,10,2,2596,30,0,DIMACS/queen12_12.col,1,1,1,queen12_12.col,0,1,144,0,1
2.729533,10,2,3328,30,0,DIMACS/queen13_13.col,1,1,1,queen13_13.col,0,1,169,0,1
5.05176,10,2,4186,30,0,DIMACS/queen14_14.col,1,1,1,queen14_14.col,0,1,196,0,1
7.02067,10,2,5180,30,0,DIMACS/queen15_15.col,1,1,1,queen15_15.col,0,1,225,0,1
8.61601,10,2,6320,30,0,DIMACS/queen16_16.col,1,1,1,queen16_16.col,0,1,256,0,1
0.13749612,10,2,160,30,0,DIMACS/queen5_5.col,1,1,1,queen5_5.col,0,1,25,0,3
0.5436351,10,2,290,30,4,DIMACS/queen6_6.col,1,1,1,queen6_6.col,0,1,36,0,2
0.4111779,10,2,476,30,0,DIMACS/queen7_7.col,1,1,1,queen7_7.col,0,1,49,0,2
3.957056,10,2,1368,30,2084,DIMACS/queen8_12.col,1,1,1,queen8_12.col,0,1,96,0,2
0.636655,10,2,728,30,0,DIMACS/queen8_8.col,1,1,1,queen8_8.col,0,1,64,0,2
2.538189,10,2,1056,30,1474,DIMACS/queen9_9.col,1,1,1,queen9_9.col,0,1,81,0,2
90.0398,10,2,19095,30,0,DIMACS/school1.col,1,1,1,school1.col,0,1,385,0,1
46.1335,10,2,14612,30,0,DIMACS/school1_nsh.col,1,1,1,school1_nsh.col,0,1,352,0,1
4.86612,10,2,4100,30,0,DIMACS/zeroin.i.1.col,1,1,1,zeroin.i.1.col,0,1,211,0,1
3.8191,10,2,3541,30,0,DIMACS/zeroin.i.2.col,1,1,1,zeroin.i.2.col,0,1,211,0,1
1.909491,10,2,3540,30,0,DIMACS/zeroin.i.3.col,1,1,1,zeroin.i.3.col,0,1,206,0,1
